Table 3-8. Average Truck Speeds on Selected Interstate Highways:  2009,,,
,,,
Interstate Route,Average Operating Speed,Peak Period Average  Speed ,Non-Peak Period Average Speed
5,52.8,52,53.1
10,57.4,56.7,57.6
15,56.7,56.2,56.9
20,59.2,58.8,59.3
24,57.2,56.6,57.4
25,58.9,58.5,59.3
26,53.7,53.3,54.6
35,56.8,55.9,57
40,58.6,58.3,58.8
45,54.9,53.9,55.4
55,57,56.8,57.2
65,57.9,57.3,58.2
70,56.8,56.5,57.1
75,56.7,56.1,57
76,54.5,54.5,54.8
77,54.7,54.3,55.1
80,57.7,57.4,57.9
81,56.6,56.6,56.8
84,54.2,53.3,54.8
85,57.3,56.5,57.4
87,54.1,53.8,54.5
90,57.1,56.8,57.4
91,53.4,52.9,54.2
94,56.7,56.2,56.8
95,56.2,55.2,56.3
,,,
,,,
,,,
"Source:  U.S. Department of Transportation, Federal Highway Administration, Office of Freight Management and Operations, Performance Measurement Program, personal communication, 2010.",,,
https://ops.fhwa.dot.gov/freight/freight_analysis/nat_freight_stats/docs/10factsfigures/table3_8.htm,,,
